Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Name Something Embarrassing That You Dont Want To Do While Asleep On A Plane Ride,Snore,44.0,Drool,29.0,Pass Gas,12,Jerk/Fall Over,9.0,Talk In Sleep,3.0,,,,
Name Something That A Secretary Never Wants To Run Out Of At The Office.,Paper,41.0,Pens/Ink,23.0,Coffee,12,Staples,11.0,Time,7.0,,,,
Name Something A Hair Dresser Might Complain About A Customer.,Dirty Hair,31.0,The Tip,27.0,Always Moving,14,Late,13.0,Too Picky,9.0,,,,
Name Something People Check At Least Once A Day.,E Mail,37.0,Time,31.0,Mailbox,11,Hair,10.0,Voice Mail,6.0,,,,
What Do Fast-Food Employees Have To Do That 5-Star Wait Staff Dont?,Cook,34.0,Clean,31.0,Work Drive Thru,20,Use Cash Register,6.0,Wear Uniform,4.0,,,,
Name A Noise That Causes Your Dog To Bark When He Hears It On TV.,Doorbell,29.0,Dogs Barking,23.0,Cat,22,Siren,14.0,Whistle,6.0,,,,
Name something you wouldnt want to discover in a hotel bed when checking into your room.,Bugs/Rodents,46.0,Other Peoples’ Stuff,32.0,Dirty sheets,10,Hair,6.0,A person,3.0,,,,
Name something you might put on top of a salad.,Dressing,45.0,Croutons,24.0,Cheese,22,Fruit,5.0,Bacon,4.0,,,,
Name something a man might try to keep covered during a first date.,Tattoo,37.0,Acne,27.0,Bald Spot,19,Wedding ring,7.0,Belly,5.0,,,,
Name something a person might be picky about.,Food,58.0,Clothes,19.0,Hairstyle,9,Dating,5.0,Car,3.0,,,,
Name something that house cleaners clean more often than you do(More specific than a room),Toilet,39.0,Windows,21.0,Floor,21,Stove/Oven,10.0,Ceiling Fan,6.0,,,,
Name a way that a mans voice might change when talking to his love interest.,Deepens,33.0,Softer,33.0,Nervous stutter,16,Higher pitch,7.0,Crack,6.0,,,,
Name a place in their home that people hide money.,Under mattress,49.0,Dresser drawer,24.0,Cookie jar,9,Closet,7.0,Freezer,5.0,,,,
Name a small creature who can be very noisy.,Cricket,38.0,Bird,28.0,Chihuahua,15,Cat,11.0,Frog,5.0,,,,
Name something risky that most people do at least once in their lifetimes.,Skydive,40.0,Fly,27.0,Get married,15,Bungee jump,7.0,Gamble,6.0,,,,
Name a sign your girlfriend might be turning into a mermaid.,Grows tail,39.0,She swims often,20.0,Getting scales,15,Always in water,12.0,Gills,8.0,,,,
Name something men try to cover up.,Affair,59.0,Baldness,15.0,Lies,8,Bills/Money,8.0,Gray hair,4.0,,,,
What body part is most important for a star to maintain?,Face,46.0,Stomach,34.0,Legs,6,Butt,5.0,Hair,4.0,,,,
Name something that shines at night.,Stars,42.0,Moon,36.0,Streetlights,9,Fire Flies,4.0,Headlights,3.0,,,,
Name something the worlds dumbest bank robber might leave at the scene of the crime,The Loot,33.0,ID,22.0,Fingerprints,20,Wallet,14.0,His gun,5.0,,,,
Name a cartoon character whos always getting hurt.,Wile E Coyote,44.0,Daffy Duck,18.0,Tom/Jerry,17,Tasmanian Devil,8.0,Itchy & Scratchy,7.0,,,,
Name an activity you might do while on a Hawaiian honeymoon.,Surf,41.0,Swim,29.0,Snorkel/scuba dive,10,Hula dance,9.0,Luau,6.0,,,,
Name a job title someone might have in a big company.,CEO,39.0,President,29.0,Vice President,16,Supervisor,8.0,Manager,3.0,,,,
Name a topping youd put on both a pizza and a taco.,Cheese,44.0,Beef/Sausage,23.0,Tomato,20,Olives,6.0,Onions,4.0,,,,
Name something everyone says theyre good at when at a job intervieweven if its a lie.,Computers,31.0,People skills,29.0,Punctuality,17,Multitasking,15.0,Organization,5.0,,,,
Name something everyone says theyre good at when at a job intervieweven if its a lie.,Computers,31.0,People skills,29.0,Punctuality,17,Multitasking,15.0,Organization,5.0,,,,
Name an activity people like to do at a lake.,Fishing,45.0,Boating,19.0,Swimming,14,Water ski,13.0,Picnic,3.0,,,,
Name something you might find on a miniature golf course.,Golf ball,54.0,Windmill,23.0,Cup,6,Putting green,6.0,Putter,4.0,,,,
Name something a kid with a broken arm would have a hard time doing at school.,Writing,57.0,Playing sports,18.0,Carrying things,7,Going to bathroom,4.0,Raising hand,3.0,,,,
Name something a manicurist needs to do her job.,Nail File,60.0,Fingernail Polish,26.0,Buffer,6,Cotton Balls,5.0,Scissors,3.0,,,,
For what reason might you suspect that the person youre dating is in the mob?,Carries a gun,44.0,Lots of money,23.0,Italian accent,20,Black clothes,7.0,Secretive,4.0,,,,
Name a piece of kidss play equipment that adults would probably hurt themselves using.,Monkey bars,35.0,Slide,28.0,Swing,27,Merry go round,5.0,Seesaw,3.0,,,,
Past or presentname a presidential couple whose dinner conversations youd love to eavesdrop on.,The Clintons,36.0,The Obamas,30.0,Bush Jr. and Laura,13,The Reagans,10.0,The Kennedys,6.0,,,,
Name something your partner might do first thing in the morning that wakes you up.,Shower,42.0,Kiss me,26.0,Brush teeth,12,Ignore alarm,9.0,Turn on light,6.0,,,,
If you just ran a marathonwhat would you need to do after the race was over?,Drink water,49.0,Rest,34.0,Shower,9,Stretch,4.0,Use bathroom,3.0,,,,
Tell me something that makes you mad when youre watching TV.,Commercials,30.0,Background noise,28.0,Phone rings,18,Bad reception,15.0,Violence,7.0,,,,
Name something you might see a picture of on a postcard from Hawaii.,Palm trees,29.0,Beach,27.0,Water,17,Hawaiian Woman,15.0,Volcano,7.0,,,,
What kind of nut butter could you use if you were allergic to peanuts?,Almond,52.0,Hazelnut,17.0,Soy,10,Cashew,9.0,Walnut,9.0,,,,
Name an animal that can live in the cold.,Polar Bear,62.0,Penguin,22.0,Seal,5,Wolf,4.0,Walrus,2.0,,,,
We asked 100 Women: At what age is a man most handsome?(NUMBERS ONLY),30,37.0,40,30.0,25,17,35,6.0,20,4.0,,,,
Name A Kind Of Pyramid.,Egyptian Pyramid,42.0,Food Pyramid,31.0,Pyramid Scheme,10,Cheerleaders Pyramid,9.0,"$100,000 Pyramid",5.0,,,,
Name Something A Woman Would Be Foolish To Apply Makeup Before Doing.,Swimming,34.0,Showering,28.0,Going To Sleep,14,Washing Her Face,12.0,Aerobics,7.0,,,,
Name Something A Pizza Delivery Person Hates About Their Job,Bad Tips,47.0,Dogs,16.0,Driving,14,Finding House,14.0,Bad Areas,8.0,,,,
Name The Article Of Babies Clothing That Grown Adults Are Most Shocked By When Seeing Its Tiny Size.,Shoes/Booties,59.0,Diapers,17.0,Onesie/Pajamas,11,T-Shirt,7.0,Bib,3.0,,,,
What Are Some Things That People Send By Email That They Used To Send Through The Mail?,Letter,37.0,Pictures,23.0,Cards,16,Invitations,10.0,Bills,8.0,,,,
Name Something You Associate With The Dallas Cowboys.,Cheerleaders,60.0,Football,26.0,Troy Aikman,3,Champs,2.0,Blue Star,2.0,,,,
Name Something People Burn In Protest.,Flags,61.0,Bras,21.0,Draft Cards,7,Signs,6.0,Books,2.0,,,,
Name An Article Of Clothing Some Women Try To Wear As Tight As Possible,Jeans/Pants,60.0,Shit/Sweater,13.0,Skirt/Dress,11,irdle,6.0,Bra,5.0,,,,
Name Something Stressful That Couples Do Together,Argue/Counseling,29.0,Manage Money,27.0,Raise Kids,21,Plan A Wedding,12.0,Buy A House,8.0,,,,
Name Something Associated With Zorro,Mask,42.0,Sword,30.0,Z,14,Horse,5.0,Cape,4.0,,,,
Name A Type Of Professional Who Might Overcharge If You Dont Know Any Better.,Mechanic,42.0,Lawyer,23.0,Doctor/Dentist,19,Plumber,6.0,Car Salesperson,5.0,,,,
If you were a celebrity for a dayname a place or event youd try to get into.,Awards show,62.0,The White House,14.0,VIP Nightclub,10,Concert/Backstage,8.0,Celebrity party,4.0,,,,
Name Something People Know About Richard Nixon,Watergate,41.0,Resigned,28.0,I Am Not A Crook,8,Went To China,8.0,Checkers Speech,8.0,,,,
Name Something An Employee Sitting In The Cubicle Next To You Might Do That Annoys You.,Talks Too Loud,35.0,Tap Pen/Pencil,29.0,Sings,14,Cough,10.0,Chew Gum,6.0,,,,
Name Something A Kindergarten Teacher Wears To Work That A Banker Never Would,Jeans,43.0,Apron,34.0,Tennis Shoes,9,T Shirt,5.0,Colorful Seater,3.0,,,,
Name A Place You See A Lot Of Green Grass.,Golf Course,45.0,Park,21.0,Farm,15,Suburbs,7.0,Country,6.0,,,,
Name A Comfort Food That Has Cheese In/On It.,Pizza,47.0,Mac And Cheese,21.0,Grilled Cheese,10,Nachos,9.0,Crackers,9.0,,,,
What Thanksgiving Dish Would Do The Least Damage If Thrown At You IN A Food Fight?,Turkey,41.0,Stuffing,22.0,Mashed Potatoes,19,Pie,8.0,Cranberry Sauce,7.0,,,,
Name A Movie With The Word “Dr.” In The Title.,Doctor Doolittle,32.0,Doctor Zhivago,26.0,Doctor Who,15,Dr. No,13.0,Dr. Jekyll/Mr. Hyde,12.0,,,,
Name A Way You Can Tell A Storm Is Coming,Dark Clouds/Sky,61.0,Lightning,18.0,Wind Changes,5,Smell,4.0,Drizzling,3.0,,,,
Tell Me Something That Causes Skin To Turn Red.,Sunburn,37.0,Rash/Allergy,25.0,Embarrassment,18,Alcohol,11.0,Exercise,6.0,,,,
If you were to open “Heartbreak Hotel” name something youd offer your brokenhearted guests.,Chocolate/sweets,35.0,Love/company,23.0,A drink,15,Tissue,12.0,Flowers,6.0,,,,
Name A Reason Why A Particular Kid Might Be Popular In School,Good Looking,29.0,Good Athlete,28.0,Rich,18,nicely Dressed,16.0,Friendly,3.0,,,,
Name Something That Has A Lock On It,Door,67.0,Safe,13.0,Car,8,Locker,3.0,Gate,3.0,,,,
Name A Country That Usually Does Well In The Olympics.,United States,73.0,Russia,15.0,China,5,England,4.0,Germany,3.0,,,,
Name something a teenager would hate to be the last of their friends to do.,Drive,38.0,Date,30.0,Graduate,13,Hit puberty,11.0,Get a phone,5.0,,,,
What Might You Do On Family Feud That Makes Your Family Upset With You?,Give Wrong Answers,54.0,Lose Fast Money,23.0,Yell,8,Swear,5.0,Give No Answer,4.0,,,,
Name Something You Use To Decorate Your Face For Halloween,Paint,64.0,Mask,19.0,Fake Blood,5,Clown Nose,4.0,Glitter,3.0,,,,
What Might A Health Inspector Find In A Restaurant That Causes It To Get A Poor Score?,Rodents,41.0,Bugs/Roaches,27.0,Dirty Dishes,16,Mold,5.0,Hair,5.0,,,,
Name Something People Serve With Biscuits.,Gravy,56.0,Butter,24.0,Mashed Potatoes,6,Jelly,5.0,Honey,5.0,,,,
Name A Piece Of Information Youd Include In A Personals Ad But Not On A Resume.,Age,57.0,Height,13.0,Marital Status,12,Weight,11.0,Horoscope Sign,4.0,,,,
Name Something Specific That People Flip,Coin,44.0,Pancake,26.0,Burger,13,Hair,8.0,House,6.0,,,,
Name A Famous Howard.,Howard Stern,61.0,Howard Hughs,14.0,Howard Cosell,8,Howard johnson,6.0,Howard The Duck,5.0,,,,
Name Something That Would Make You Suspicious If Your Date Said He Didnt Have Any.,Money,47.0,Friends,21.0,Family,15,Exes,8.0,Identification,6.0,,,,
Name Something Peoiple Subscribe To By Month,Magazine,54.0,Newspaper,28.0,Cable,7,Gym,5.0,Internet,3.0,,,,
Name Something A Baby Doesnt Have That Most Adults Do,Teeth,49.0,Hair,34.0,Car,7,Money,4.0,Job,3.0,,,,
Name a profession that would help you be good at solving crossword puzzles.,Teacher,58.0,Writer,17.0,Librarian,13,Editor,8.0,Journalist,4.0,,,,
Name Something You Wave In The Air.,Hands,39.0,Flag,24.0,Sign/Banner,13,Kite,11.0,Lighter,6.0,,,,
Which Piece Of Playground Equipment Has Probably Resulted In The Most Injuries?,Swings,36.0,Jungle Gym,30.0,Slide,23,Seesaw,4.0,Merry Go Round,4.0,,,,
Name An Animal Thats Usually Not Dangerous But Many People Are Afraid To Touch,Dog,45.0,Snake,36.0,Skunk,6,Frog,5.0,Mouse,5.0,,,,
Name Something You Need When Youre Moving.,Moving Truck,44.0,Boxes,33.0,Dolly,12,friends To Help,6.0,Movers,4.0,,,,
Name An Appetizer You Might Find Served At A Bar,Peanuts,36.0,Chicken Wings,21.0,Pretzels,19,Popcorn,9.0,Nachos,9.0,,,,
Other Than A Canvas Name Something That You Put Paint On.,Wall,39.0,House/Building,33.0,A Face,13,Porch/Fence,8.0,Nails,4.0,,,,
Name A Reason You Might Have To Get A Change For A Dollar,Make A Phone Call,47.0,Vending Machine,38.0,Parking Meter,5,Bus Fare,4.0,Newspaper Machine,3.0,,,,
Name A Member Of The Celebrity Elite Who Is Famous For No Apparent Reason.,Paris Hilton,38.0,Kevin Federline,18.0,Donald Trump,16,Kim Kardashian,14.0,Nicole richie,12.0,,,,
Name Something A Driver Might Do When He Sees A Police Car.,Slow Down,67.0,Pull Over,10.0,Put Seat Belt On,9,Run The Other Way,7.0,Panic,5.0,,,,
Name An Office Supply That Youd Be Surprised To See On Your Kids List Of School Supplies.,Computer,35.0,Stapler,27.0,Copier/Fax,18,Envelopes,5.0,Paper Clips,5.0,,,,
Besides Your Plane Ticket Name Something You Can Spend Money On At An Airport,Food/Drink,44.0,Magazine/Paper,27.0,Souveniers,11,Luggage Fee,9.0,Parking,6.0,,,,
Name Something You Tap.,Foot,34.0,Table,16.0,Fingers,16,Drum,12.0,Pencil,12.0,,,,
What Would You Be Surprised To See A Child Do At A Bowling Alley?,Get A Strike,66.0,Smoking,12.0,Drinking,10,Sleeping,6.0,Perfect Game,3.0,,,,
Name A Door That Youd Hate To Leave Unlocked Accidentally,Front Door,37.0,Car Door,35.0,Bathroom Door,13,Safe,7.0,Pet,5.0,,,,
What Does A Businessman Use When Making Speeches But Pastors Dont During Their Sermons?,Note Cards,55.0,Chart,14.0,Pointer,11,Powerpoint,11.0,Projector,7.0,,,,
Name Something Kids Look Forward To,Vacation,41.0,Christmas,29.0,Birthday,13,Gifts,5.0,Recess,5.0,,,,
Name A Piece Of Information That Might Be On A Dogs Tag.,Name,42.0,Address,22.0,Phone Number,21,Owner’s Name,11.0,Reward,2.0,,,,
Name A Specific Occupation Where They Wear Sneakers.,Basketball Player,55.0,Coach,15.0,Tennis Player,14,Nurse,6.0,Runner,4.0,,,,
Name Something A Pet Might Do To Its Owners Shoes.,Chew/Bite Them,54.0,Relieve Thenselves,28.0,Hide Them,7,Drool/Lick Them,7.0,Smell Them,3.0,,,,
Name Something About You That Has Not Changed As Youve Gotten Older,Personality/Attitude,41.0,Eyes,34.0,Name,11,Sense Of Humor,6.0,Smile,5.0,,,,
If You Were Designing An Airport Name Something Youd Make Sure There Was A Lot Of.,Bathrooms,30.0,Runways,24.0,Chairs,22,Computers,10.0,Smoking Areas,8.0,,,,
Name Something That Might Be Carved Into A Christmas Ice Sculpture.,Angel/Religious Fig.,39.0,Tree,24.0,Santa/Reindeer,15,Penguins/Animals,8.0,Snowflake,5.0,,,,
Name A Reason Why A Man Might Delay Proposing To His Girlfriend.,Nervous,38.0,No Money,33.0,Not Ready,17,Unsure,6.0,Someone Else,5.0,,,,
Name Something A Deejay Needs To Play A Gig.,Music,34.0,Turntable,23.0,Microphone,16,Laptop/Ipod,12.0,Sound System,9.0,,,,
Name A Job From Which You Would Come Home Smelling Really Good.,Baker,41.0,Perfume Seller,32.0,Florist,14,Chef,9.0,Spa Employee,3.0,,,,
Name Something People Do With Pennies.,Save Them,68.0,Throw In A Fountain,12.0,Roll Them Up,9,Throw Them Away,3.0,Spend Them,3.0,,,,
Tell Me A Reason You Might Be Low On Sleep.,Overworked,44.0,kids/New Baby,26.0,Can’t Sleep,13,Sick,6.0,Studying,5.0,,,,
Name Something Oprah Winfrey Has That The Average Woman Admires.,Money,49.0,Talk Show,15.0,Self Esteem,12,Charisma,11.0,Style,8.0,,,,
What Might A Bankrobber Wear In Order To Keep His Identity A Secret?,Mask,58.0,Gloves,13.0,Wig,10,Hat,8.0,Sunglasses,5.0,,,,
Name An Expensive Food That You Wouldnt Serve At A Kids Birthday Party,Caviar,31.0,Filet Mignon,27.0,Lobster,24,Shrimp,8.0,Sushi,7.0,,,,
Name A Department Store Where People Shop During The Holidays.,Wal Mart,38.0,Macy’s,37.0,Sears,13,J C Penny,5.0,Target,2.0,,,,
Name Something You Should Always Carry Extra Of When Flying By Plane.,Money,38.0,Change Of Clothes,23.0,Snacks,17,Gum,10.0,Tissue,7.0,,,,
What Might You Find In Your Food That Belongs To The Cook?,Hair,46.0,Ring,23.0,Fingernail,17,Bandage,5.0,Tooth,3.0,,,,
Name A Type Of TV Show That You Wouldnt Want To See Your Grandma On,Reality TV,33.0,Talk Show,33.0,Dating Show,14,Romantic Drama,9.0,True Crime,5.0,,,,
Name Something People Take Along To Make A Long Car Ride Go Faster.,Music,38.0,Reading Matereal,27.0,Games,14,Snacks,10.0,TV/Movie,5.0,,,,
Name Another Word For “Ugly.”,Gross,25.0,Hideous,23.0,Homely,18,Nasty,15.0,Unattractive,14.0,,,,
Where In Your House Do You Look For Something Thats Been Packed Away For Winter?,Attic,41.0,Closet,32.0,Basement,15,Garage,6.0,Under Bed,4.0,,,,
When Living In An Apartment Name Something You Can Often Hear Your Neighbors Doing.,Fighting,51.0,Talking,24.0,Watching TV,12,Partying,5.0,Vacuuming,3.0,,,,
Name A Service A Hotel Provides That You With You Had At Your House.,Room Service,42.0,House Keeping,33.0,Massage,13,Laundry,7.0,Valet,5.0,,,,
Name A Way People Get To Work In The Morning.,Car,44.0,Public Transportation,20.0,Carpool,15,Bike,10.0,Walk,5.0,,,,
Name Something That Farmers 100 Years Ago Did By Hand But Now Do With Machines.,Plow The Field,36.0,Plant Seeds,24.0,Milk Cows,23,Harvest Crops,11.0,Water Crops,5.0,,,,
Name A Sport Where Players Lose Teeth.,Hockey,49.0,Boxing,33.0,Football,10,Baseball,4.0,Wrestling,2.0,,,,
Name A Patriotic Song,Star Spangled,35.0,God Bless America,25.0,Born In The USA,15,Amer The Beautiful,12.0,Yankee Doodle,7.0,,,,
Name Something People Put On The Outside Of Their Car.,Wax,29.0,Sticker,28.0,License Plate,15,Cover,15.0,Antenna,5.0,,,,
Which Traditional Dish Would You Prepare For Somebody Learning About American Culture?,Hamburger,39.0,Fried Chicken,20.0,Pizza,17,Hot Dog,13.0,Apple Pie,8.0,,,,
If Your Cat Learned To Speak Name Something It Would Ask For,Food/Milk,43.0,Pets/Scratches,25.0,Clean Litterbox,10,Catnip,7.0,Attention,4.0,,,,
Name A Reason Why A Student Might Be Moved To The Front Of The Class,Poor Vision,46.0,In Trouble,23.0,Teacher’s Pet,23,Hear Better,5.0,Attractive Teacher,3.0,,,,
Name An Activity Some Men Do With Their Buddies Where Wives Arent Invited,Play Poker,35.0,Go To Bar,30.0,Watch Sports,12,Golf Outing,11.0,Bachelor Party,6.0,,,,
Name Something People Do With Their Dogs That They Dont Do With A Pet Goldfish.,Walk,40.0,Pet,31.0,Play Fetch,16,Groom,5.0,Bathe,3.0,,,,
Name A Minor Ailment You Cant Stop Your Body From Doing But Would Dread Having Happen At Your Wedding Ceremony.,Hiccups,30.0,Coughing/Choking,21.0,Pass Gass,19,Sneezing Fit,13.0,Bloody Nose,12.0,,,,
What Might A Girl Wear For The First Time To Her Junior High Dance?,Formal dress,39.0,High Heels,26.0,Makeup,17,Coursage,11.0,Bra,4.0,,,,
Tell Me Something A Woman Might Do To Spoil Herself (More Specific Than “Spa”).,Shop,38.0,Manicure,24.0,Hair Salon,20,Massage,11.0,Bubble Bath,6.0,,,,
Name A Movie About Baseball Players,Angels In Outfield,29.0,League Of Their Own,18.0,Field Of Dreams,17,The Natural,16.0,Bull Durham,14.0,,,,
Name A Baby Farm Animal That A Child Would Probably Want To Keep As A Pet.,Piglet,37.0,Lamb,24.0,Chick,19,Kid/Goat,9.0,Bunny,8.0,,,,
Name Something In Your Wallet That Might Be Used For An ID,Driver’s License,55.0,Social Security,25.0,School ID,9,Credit Card,6.0,Business Card,3.0,,,,
Name A Way That People Spoil Their Pets.,Give Them treats,31.0,Feed Too Much,20.0,Sleep With Them,15,Buy Them Clothes,12.0,Buy Them Toys,9.0,,,,
Other Than An Alarm What Do People Use To Wake Them Up?,Cell Phone,38.0,Radio,22.0,Rooster,21,Sun,11.0,Cat/Dog,6.0,,,,
Name A Type Of Sauce That Youd Never Put On Pasta,Apple Sauce,30.0,Hot Sauce,26.0,Ketchup,16,BBQ,13.0,Chocolate Sauce,12.0,,,,
Name An Occasion Or Place Where You Would Not Admit That You Dont Like The Food.,Wedding,38.0,Family Dinner,28.0,Birthday Party,12,On A Date,6.0,Church Picnic,3.0,,,,
Name A School Supply That You Havent Used Since You Were Young.,Crayon,38.0,Ruler,25.0,Pencil/Eraser,18,Paste/Glue,11.0,Compass,5.0,,,,
Name A Specific Food Thats Hard To Cook Well Without Burning,Steak,31.0,Eggs,26.0,Toast,19,Chicken,11.0,Cookies,8.0,,,,
Other Than Sleep Name Something You Do While Lying Down,Read,36.0,Watch TV/Movie,27.0,Make Love,19,Sun Bathe,6.0,Exercise,3.0,,,,
Name A Word That Starts With “F” That Best Describes Your Cat,Furry/Fluffy,38.0,Fat,31.0,Funny,13,Fast,8.0,Frisky,3.0,,,,
Name Something A Kid Might Do To Get Out Of Taking A Bath,Cry/Tantrum,40.0,Go To Bed,21.0,Fake Sickness,15,Run,12.0,Hide,9.0,,,,
Name Something Ugly That Can Grow On Your Feet,Corn,38.0,Athletes Foot,30.0,Wart,19,Bunion,7.0,Ingrown Toenail,6.0,,,,
Name Something About Wonder Woman The Average Woman Might Envy,Body,60.0,Power,19.0,Strength,9,Looks,5.0,Invisible Plane,3.0,,,,
Why Might Someone Who Doesnt Like Reading Go To The Library?,Use Computer,36.0,Study,31.0,Meet People,13,Research,10.0,It’s Quiet,5.0,,,,
We Asked 100 Husbands: If Your Wife Had A Personal Assistant Name Something Theyd Be Asked To Do.,Cook,39.0,Clean,25.0,Laundry,17,Shop,12.0,Make Coffee,4.0,,,,
Name A Famous Male Real Or Fictional Who Wears Tights,Robin Hood,35.0,Superman,27.0,Peter Pan,13,Batman,10.0,Mikhail Barishnikov,9.0,,,,
Name A Beverage Thats Not Sweet,Coffee,28.0,Water,25.0,Tea,19,Beer,17.0,Milk,8.0,,,,
Name Something People Go To That Might Be Sold Out,Concert,47.0,Movies,25.0,Sports Event,11,Theatre,9.0,Musical,3.0,,,,
Name A Reason Why Parents Say That Childhood Is Better Than Adulthood.,No Bills,53.0,No Work,19.0,No Worries,12,More Fun/Playing,9.0,No Resposibility,6.0,,,,
Name A Fruit That Starts With The Letter “P.”,Pear,28.0,Peach,25.0,Pinapple,17,Plum,15.0,Papaya,9.0,,,,
Name A Way That You Wish Your Life Was More Like Your Cats Life,Sleep All Day,38.0,Have 9 Lives,22.0,Pleny Of Food,19,No Job,15.0,Plenty Of Play Time,5.0,,,,
Name Something You Do To Your Lawn That You Would Never Do To Your Wall-To-Wall Carpet.,Water It,39.0,Cut It,36.0,Fertilize It,13,Plant Flowers,4.0,Rake It,2.0,,,,
Name Something People Do While Telling A Lie That Gives Them Away.,No Eye Contact,38.0,Stutter,25.0,Sweating,15,Smile/Nervous Laugh,11.0,Red Face,5.0,,,,
Name Someone You Might Tip At A Hotel,Bellhop,67.0,Doorman,14.0,Waiter,7,Maid,5.0,Room Service,4.0,,,,
Tell Me Something You Would Let Your Dog Do But Not Your Child.,Pee Outside,31.0,Lick,24.0,Drink From Toilet,17,Eat Scraps,15.0,Run Loose,9.0,,,,
Name Something That You Could See On An Alaskan Cruise That You Probably Wouldnt See On A Caribbean Cruise,Iceberg,37.0,Snow,29.0,Polar Bear,21,Whale,6.0,Seal,4.0,,,,
Name Something That Comes In A Bottle,Soda,29.0,Beer,24.0,Perfume,20,Milk,12.0,Shampoo,9.0,,,,
Tell Me An Activity That Some People Are Told To Do More Of And Others Are Told To Do Less.,Exercise,44.0,Eat,35.0,Talk,8,Work,8.0,Sleep,3.0,,,,
Name A Specific Quality That Would Make Your Buddy A Bad Wing Man,Very Shy,36.0,Too  Handsome,22.0,Drinks Too Much,15,Bad Hygeine,12.0,Smokes,5.0,,,,
What Did 100 Wives Say Their Husbands “Always Think Theyre Right About” In An Argument?,Money,34.0,Raising Kids,26.0,Romance/Relationship,11,Cars,8.0,Sports,6.0,,,,
Name Something That Superstitious People Believe Will Bring Bad Luck.,Black Cat,65.0,Breaking A Mirror,18.0,Walk Under A Ladder,9,Number 13,3.0,Step On A Crack,3.0,,,,
Name A Way You Might Be Able To Tell What Someone Just Had For Lunch.,Breath,68.0,Burp,15.0,Stains,7,Crumbs On Teeth,4.0,They Vomit,4.0,,,,
Name Something That Has Springs In It.,Bed,57.0,Couch,17.0,Chair,12,Pogo Stick,8.0,Trampoline,5.0,,,,
Name Something That Might Cause A Real Life Family Feud Among Neighbors.,Noise,33.0,Money/Property,26.0,Dogs/Pets,15,Naughty Kids,14.0,Unkempt Yard,9.0,,,,
Name Something People Do On Ice,Skate,70.0,Play Hockey,9.0,Fall Down,8,Ice Fish,7.0,Walk,3.0,,,,
Name Something You Might Do After Your House Has Been Robbed.,Call Police,62.0,Get An Alarm,16.0,Move,11,Cry,6.0,Yell,5.0,,,,
How Many Days Does A Cold Last?,7,36.0,3,25.0,5,17,4,10.0,6,6.0,,,,
Tell Me How Fast Most People Drive On The Freeway. (Numeric Only),70,33.0,75,31.0,65,14,80,12.0,60,7.0,,,,
Name Something You Do When Approached By A Salesperson At A Store.,Avoid Them,45.0,Ask For Help,18.0,Smile,17,Say Hi,10.0,“Just Looking”,10.0,,,,
When Traveling Overseas Tell Me The Ideal Amount Of Time To Be Away From Home,2 Weeks,24.0,3 Weeks,20.0,1 Week,13,1 Month,5.0,10 Days,4.0,,,,
Name A Controversial American President,George W Bush,33.0,Richard Nixon,29.0,Bill Clinton,25,John F Kennedy,3.0,Abraham Lincoln,3.0,,,,
Name An Occupation Where You Have To Be Really Smart,Doctor,41.0,Lawyer,28.0,Scientist,13,Engineer,6.0,Accountant,6.0,,,,
Name A Profession Where Neatness Counts,Doctor/Nurse,35.0,Maid,23.0,Teacher,16,secretary,14.0,Accountant/Banker,9.0,,,,
Name Something Your Spouse Does To Let You Know Theyre “In The Mood For Love.”,Kiss/Touch,44.0,Touch,18.0,Turn On Music,12,Undress/Change Clothes,10.0,Acty Flirty,5.0,,,,
Name Something A Person Might Change After Breaking Up With A Partner.,Phone Number,37.0,Hair,21.0,Name,18,Locks,12.0,Address,6.0,,,,
Name Something A Firefighter Needs A Lot Of,Water,75.0,Strength,9.0,Rest,4,Ladders,4.0,Air,2.0,,,,
Name Something A Reality Show Is Incomplete Without.,Drama/Fighting,53.0,Contestants/Celebs,24.0,Romance,12,Camaras,6.0,Alcohol,4.0,,,,
Name A Way In Which Sitcom Characters Are Typically Different From Real People,Funny,43.0,They’re Acting,16.0,Always Happy,13,Rich,11.0,Always Look Good,11.0,,,,
Name Something People Might Buy For Their New Goldfish.,Food,46.0,Tank,26.0,Some Rocks,14,Castle,5.0,Another Goldfish,4.0,,,,
Name A Sound Youd Hear At A Boxing Match,Bell,75.0,Cheering,10.0,Booing,5,Punching,3.0,Applause,2.0,,,,
Name A Fruit That You Might Accidentally Swallow The Seeds Of.,Watermelon,47.0,Grape,24.0,Cherry,15,Orange,8.0,Apple,4.0,,,,
Name Something Your Physician Asks That Would Be Strange To Ask A Person Who You Just Met.,Weight,61.0,Age,17.0,Date Of Last Cycle,11,High Blood Pressure,5.0,Are You Pregnant,4.0,,,,
What Part Of The School Day Might A Kindergartener Look Forward To?,Recess,42.0,Lunch,23.0,Nap Time,18,Going Home,9.0,Art,6.0,,,,
Name Something A President Probably Has With Him Everywhere He Goes?,Secret Service,51.0,Cell Phone,21.0,Money,10,First Lady,9.0,Assistant,5.0,,,,
Name A Profession Youd Shoot For If You Wanted To Be Famous.,Actor,54.0,Musician,26.0,Model,7,Politition,6.0,Athlete,4.0,,,,
